Degree,Type
Bachelor of Science Nursing (Post Basic),Bachelor 
Bachelor of Science Nursing (Post Basic) (Distance Education),Bachelor 
Bachelor of Science Occupational Therapy,Bachelor 
Bachelor of Science Physcial Sciences (Honors),Bachelor 
"Bachelor of Science Physical Education, Health Education and Sports (Hons)",Bachelor 
Bachelor of Science Physics,Bachelor 
Bachelor of Science Physics (Honors),Bachelor 
Bachelor of Science Plant Biotechnology,Bachelor 
Bachelor of Science Statistics,Bachelor 
Bachelor of Science Statistics (Honors),Bachelor 
Bachelor of Science Visual Communication,Bachelor 
Bachelor of Science Zoology,Bachelor 
Bachelor of Science Zoology (Honors),Bachelor 
Bachelor of Social Work,Bachelor 
Bachelor of Socio Legal Sciences,Bachelor 
Bachelor of Technology (Food Science),Bachelor 
Bachelor of Technology Agriculture Engineering,Bachelor 
Bachelor of Technology Chemical Engineering,Bachelor 
Bachelor of Technology Civil Engineering,Bachelor 
Bachelor of Technology Computer Science,Bachelor 
Bachelor of Technology Computer Science and Engineering,Bachelor 
Bachelor of Technology Computer Science Engineering,Bachelor 
Bachelor of Technology Electrical and Electronics Engineering,Bachelor 
Bachelor of Technology Electronics,Bachelor 
Bachelor of Technology Electronics & Communication Engineering,Bachelor 
Bachelor of Technology Food Technology,Bachelor 
Bachelor of Technology Industrial Biotechnology,Bachelor 
Bachelor of Technology Information & Communication Technology,Bachelor 
Bachelor of Technology Information Technology,Bachelor 
Bachelor of Technology Instrumentation,Bachelor 
Bachelor of Technology Manufacturing Technology,Bachelor 
Bachelor of Technology Marine Engineering,Bachelor 
Bachelor of Technology Mechanical Engineering,Bachelor 
Bachelor of Technology Petroleum Engineering,Bachelor 
Bachelor of Technology PlasticsTechnology,Bachelor 
Bachelor of Technology Polymer Science,Bachelor 
Bachelor of Technology Psychological Science,Bachelor 
Bachelor of Unani Medicine and Surgery,Bachelor 
Bachelor of Veterinary Science and Animal Husbandry,Bachelor 
Bachelor of Visual Arts (Applied Art),Bachelor 
Bachelor of Visual Arts (Painting),Bachelor 
Bachelor of Visual Arts (Sculpture),Bachelor 
Diploma in Agriculture,Diploma 
Diploma in Business Journalism and Corporate Communication,Diploma 
Diploma in Civil & Environmental Engineering,Diploma 
Diploma in Dance,Diploma 
Diploma in Dredging technology Advanced,Diploma
Diploma in Early Childhood Education,Diploma 
Diploma in Electrical Engineering,Diploma 
Diploma in Electronics Engineering,Diploma 
Diploma in Fashion and Textile Designing,Diploma 
Diploma in Health-Care and Hospital Management,Diploma 
Diploma in Interior Design and Decoration,Diploma 
Diploma in Labour Laws & Practice,Diploma 
Diploma in Mechanical Engineering,Diploma 
Diploma in Music,Diploma 
Diploma in Pharmacy,Diploma 
Diploma in School Management,Diploma 
Diploma in Taxation Law,Diploma 
Diploma in Taxation Laws & Practice,Diploma 
Diploma in Technical Chemistry,Diploma 
Diploma in Textile Manufactures,Diploma 
Doctor of Medicine Anaesthesia,Doctor 
Doctor of Medicine Anatomy,Doctor 
Doctor of Medicine Ayurveda Kayachikitsa,Doctor 
Doctor of Medicine Ayurveda Kriya Sharir,Doctor 
Doctor of Medicine Biochemistry,Doctor 
Doctor of Medicine Community Medicine,Doctor 
Doctor of Medicine Dermatology,Doctor 
Doctor of Medicine Forensic Medicine,Doctor 
Doctor of Medicine General Medicine,Doctor 
Doctor of Medicine Homeopathic Philosophy,Doctor 
Doctor of Medicine Homeopathy,Doctor 
Doctor of Medicine Materia Medica,Doctor 
Doctor of Medicine Medicine,Doctor 
Doctor of Medicine Microbiology,Doctor 
Doctor of Medicine Obstetrics & Gynecology,Doctor 
Doctor of Medicine Orthopaedics,Doctor 
Doctor of Medicine Otorhinolaryngology and Head & Neck Surgery,Doctor 
Doctor of Medicine Paediatrics,Doctor 
Doctor of Medicine Pathology,Doctor 
Doctor of Medicine Pharmacology,Doctor 
Doctor of Medicine Physiology,Doctor 
Doctor of Medicine Psychiatry,Doctor 
Doctor of Medicine Pulmonary Medicine,Doctor 
Doctor of Medicine Radio-Diagnosis,Doctor 
Doctor of Medicine Radio-Therapy,Doctor 
Doctor of Medicine Radiology,Doctor 
Doctor of Medicine Repertory,Doctor 
Doctor of Medicine Tuberculosis & Chest diseases,Doctor 
Doctor of Medicine Unani Moalejat,Doctor 
Doctor of Philosophy Agricultural Process & Food Engineering,Doctor 
Doctor of Philosophy Banking & Finance,Doctor 
Doctor of Philosophy Biochemistry,Doctor 
Doctor of Philosophy Biology,Doctor 
Doctor of Philosophy Biomedical Sciences,Doctor 
Doctor of Philosophy Chemistry,Doctor 
Doctor of Philosophy Education,Doctor 
Doctor of Philosophy Farm Machinery & Power,Doctor 
Doctor of Philosophy Gujarati,Doctor 
Doctor of Philosophy Hindi,Doctor 
Doctor of Philosophy in Forest Ecology &  Environment,Doctor 
Doctor of Philosophy in Forest Management,Doctor 
Doctor of Philosophy Inorganic Chemistry,Doctor 
Doctor of Philosophy Kannada,Doctor 
Doctor of Philosophy Law,Doctor 
Doctor of Philosophy Management Studies,Doctor 
Doctor of Philosophy Marathi,Doctor 
Doctor of Philosophy Marine Biotechnology,Doctor 
Doctor of Philosophy Maritime Management,Doctor 
Doctor of Philosophy Mechanical Engineering,Doctor 
Doctor of Philosophy Medical Biochemistry,Doctor 
Doctor of Philosophy Medical Pharmacology,Doctor 
Doctor of Philosophy Microbiology,Doctor 
Doctor of Philosophy Nursing,Doctor 
Doctor of Philosophy Organic Chemistry,Doctor 
Doctor of Philosophy Petroleum Engineering,Doctor 
Doctor of Philosophy Pharmaceutical Analysis,Doctor 
Doctor of Philosophy Pharmaceutical Chemistry,Doctor 
Doctor of Philosophy Pharmaceutics,Doctor 
Doctor of Philosophy Pharmacognosy,Doctor 
Doctor of Philosophy Pharmacology,Doctor 
Doctor of Philosophy Pharmacy,Doctor 
Doctor of Philosophy Philosophy,Doctor 
Doctor of Philosophy Physiology,Doctor 
Doctor of Philosophy Pulmonary Medicne,Doctor 
Doctor of Philosophy Social Work,Doctor 
Doctor of Philosophy Soil & Water Engineering,Doctor 
Doctor of Philosophy Special Education,Doctor 
Doctor of Philosophy Zoology,Doctor 
Doctorate in Agriculture,Doctorate 
Doctorate in Agriculture Engineering,Doctorate 
Doctorate in Fisheries,Doctorate 
Doctorate in Medicine Pulmonary Medicine,Doctorate 
Doctorate in Microbiology,Doctorate 
Doctorate in Veterinary Science and Animal Husbandary,Doctorate 
Master in Heritage Management,Master
Master in Life Sciences,Master
Master of Agricultural Business Management,Master 
Master of Architecture (By Research),Master 
Master of Architecture (General),Master 
Master of Architecture Architectural and Urban Conservation,Master 
Master of Architecture Construction Management,Master 
Master of Architecture Environmental Architecture,Master 
Master of Architecture Real Estate Development,Master 
Master of Architecture Urban and Regional Planning,Master 
Master of Architecture Urban Design,Master 
"Master of Arts (Diplomacy, Law & Business)",Master 
Master of Arts Ancient History & Archaeology,Master 
Master of Arts Arabic,Master 
Master of Arts Communication & Media Studies,Master 
Master of Arts Communication and Journalism,Master 
Master of Arts Convergent Journalism,Master 
Master of Arts Disability Communication and Deaf Studies,Master 
Master of Arts Economics,Master 
Master of Arts Education,Master 
Master of Arts English,Master 
Master of Arts English (English Language Training),Master 
Master of Arts Geography,Master 
Master of Arts Gujarati,Master 
Master of Arts Hindi,Master 
Master of Arts History,Master 
Master of Arts Mahayana Buddhist Studies,Master 
Master of Arts Mathematics,Master 
Master of Arts Music,Master 
Master of Arts Persian,Master 
Master of Arts Philosophy,Master 
Master of Arts Political Science,Master 
Master of Arts Psychology,Master 
Master of Arts Public Administration,Master 
Master of Arts Public Policy,Master 
Master of Arts Public Relations,Master 
Master of Arts Punjabi,Master 
Master of Arts Rural Development,Master 
